asset,BTC-USD,ETH-USD,BNB-USD
2020-03-18,0.0024512036855608432,0.007894498612091683,0.004164031024302517
2020-03-19,0.18187755736638023,0.1894040141620661,0.21350668816449536
2020-03-20,0.001225199953657663,-0.02823472111521519,-0.032881525948467716
2020-03-21,-0.00221203491300348,0.0006143190364296114,0.015335649983790667
2020-03-22,-0.05736583896317804,-0.07150768570449428,-0.07461965307678431
2020-03-23,0.10052048673231173,0.09398593784316334,0.08598918826520796
2020-03-24,0.04963733427047878,0.028536004986446484,0.02339594903176323
2020-03-25,-0.007979552925792555,-0.01848893815284358,-0.006202656459869393
2020-03-26,0.005295181540467819,0.015901101242766114,0.0724837527610731
2020-03-27,-0.03672214358569481,-0.031971413141401506,-0.052532491754854194
2020-03-28,-0.035179534234601295,-0.022035925578709925,-0.026362464795763096
